Instance,Epsilon ,,,Hypervolume,,
,concave,correlated,anticorrelated,concave,correlated,anticorrelated
"50,1","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"50,2","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"50,3","0,0000","0,0000","0,0000","0,0000","0,0011","0,0000"
"50,4","0,0000","0,0026","0,0000","0,0000","0,9914","0,0000"
"50,5","0,0000","0,5000","0,0000","0,0000","0,5000","0,0000"
"100,1","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"100,2","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"100,3","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"100,4","0,0000","0,0000","0,0000","0,0000","0,0001","0,0000"
"100,5","0,0000","0,9102","0,0000","0,0000","0,4358","0,0000"
"200,1","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"200,2","0,9974","0,0000","0,0000","0,9973","0,0000","0,0000"
"200,3","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"200,4","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"200,5","0,0000","0,0000","0,0000","0,0000","0,9925","0,0000"
"300,1","0,1587","0,0000","0,0000","0,5000","0,0000","0,0000"
"300,2","0,0076","0,0000","0,0000","0,0016","0,0000","0,0000"
"300,3","0,5000","0,0000","0,0000","0,5000","0,0000","0,0000"
"300,4","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"300,5","0,0000","0,1600","0,0000","0,0000","1,0000","0,0000"
"400,1","0,5000","0,0000","0,0000","0,5000","0,0000","0,0000"
"400,2","0,0459","0,0000","0,0000","0,0000","0,0000","0,0000"
"400,3","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"400,4","0,3747","0,0000","0,0000","0,0000","0,0000","0,0000"
"400,5","0,0000","0,8473","0,0000","0,0000","0,9999","0,0000"
"500,1","0,0930","0,0000","0,0000","0,0000","0,0000","0,0000"
"500,2","1,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"500,3","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"500,4","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"500,5","0,0000","0,9644","0,0000","0,0000","1,0000","0,0000"
"600,1","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"600,2","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"600,3","0,9408","0,0000","0,0000","0,0222","0,0000","0,0000"
"600,4","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"600,5","0,0000","1,0000","0,0000","0,0000","0,0168","0,0000"
"700,1","0,6581","0,0000","0,0000","0,0005","0,0000","0,0000"
"700,2","0,0000","0,0000","0,0000","0,5000","0,0000","0,0000"
"700,3","1,0000","0,0000","0,0000","0,9758","0,0000","0,0000"
"700,4","0,0000","0,3925","0,0000","0,0000","0,0000","0,0000"
"700,5","0,5000","1,0000","0,0000","0,5000","0,9996","0,0000"
"800,1","1,0000","0,0000","0,0000","1,0000","0,0000","0,0000"
"800,2","1,0000","0,0000","0,0000","0,9084","0,0000","0,0000"
"800,3","1,0000","0,0000","0,0000","0,9870","0,0000","0,0000"
"800,4","1,0000","0,9877","0,0000","0,1321","0,0001","0,0000"
"800,5","0,0009","1,0000","0,0000","0,0000","1,0000","0,0000"
"900,1","0,5000","0,0000","0,0000","0,5000","0,0000","0,0000"
"900,2","0,0000","0,0000","0,0000","1,0000","0,0000","0,0000"
"900,3","0,0000","0,0000","0,0000","0,5000","0,0000","0,0000"
"900,4","1,0000","0,9758","0,0000","0,2482","0,0038","0,0000"
"900,5","0,9996","1,0000","0,0000","0,0012","0,9996","0,0000"
"1000,1",,,,,,
"1000,2",,,,,,
"1000,3",,,,,,
"1000,4",,,,,,
"1000,5",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,