,Correlated,,,Anticorrelated,,,Concave,,
,e-una add,Hyp,R2,e-una add,Hyp,R2,e-una add,Hyp,R2
50.1,1.0000,1.0000,1.0000,0.0000,1.0000,0.0259,0.0017,1.0000,1.0000
50.2,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0001,1.0000,1.0000
50.3,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0002,1.0000,1.0000
100.1,0.0000,0.0296,0.0000,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000
100.2,0.0012,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
100.3,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
200.1,0.0000,0.0000,0.0000,0.9994,0.0000,1.0000,0.0000,1.0000,1.0000
200.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
200.3,0.0000,0.9999,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
300.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0259,0.5000,0.5000,H0
300.2,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000
300.3,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,H0,H0,H0
400.1,0.0000,0.0000,0.0000,0.0038,0.0000,0.1674,H0,H0,H0
400.2,0.0000,0.0000,0.0000,0.0000,0.8697,0.0000,0.0000,0.8357,0.7985
400.3,0.0000,0.0000,0.0000,0.0000,H0,0.0000,0.0000,0.0002,0.0000
500.1,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
500.2,0.0000,0.0000,0.0000,0.0000,0.9805,0.0000,0.0000,0.0000,0.0000
500.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
600.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9962,H0
700.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
700.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,H0,H0,H0
700.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
900.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,H0,H0,H0
900.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,H0,H0,H0
900.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,H0,H0,H0
1000.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0044,0.0000
1000.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9955,0.0000,1.0000
1000.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000